AOI ID,Location,Operations,Crop,LAAR Status 2026-2027,Season,Station,Province,Region,Latitude,Longitude,Planting Date (MM/DD/YYYY),Plant Density (plants/ha),Fertilization,Area ( Ha),Field Testing Specialist,Seed Product Agronomist,Site Type,Description,Visible
AACY04NGCH1T,Gualeguaychu,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Early,AA,Entre Ríos,Litoral,-33.09559,-58.8035,,,Estandar,2.295,Vilchez,Bernardi,Trial,,Yes
ACCY04NHER1T,Hernando,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Córdoba,Centro,-32.27237,-63.88752,,,Estandar,2.2338,Gomez,Open Rio IV,Trial,,Yes
AACY04NINTET,Intendente Alvear,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,La Pampa,Oeste,-35.02334,-63.49163,,,Estandar,2.295,Antunes,Peralta Martinez,Trial,,Yes
AACY04NJUNIT,Junin,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Nucleo,-34.58006,-61.03331,,,Estandar,0.1968,Romero Cuny,Mazzini,Trial,,Yes
AACY04NLCART,La Carlota,SPD,Corn,IMPACT 3R,Early,AA,Córdoba,Oeste,-33.28897,-63.32201,,,Baja,0.1968,Perassi,Paz,Trial,,Yes
AACY04NLBORT,Laborde,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Córdoba,Nucleo,-33.13566,-62.97732,,,Alta,2.2338,Perassi,Paz,Trial,,Yes
AACY04NMJUAT,Marcos Juarez,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Córdoba,Nucleo,-32.81882,-62.14058,,,Alta,2.2338,Perassi,Paz,Trial,,Yes
AACY04NPEHUT,Pehuajó,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Oeste,-35.4511,-61.42362,,,Estandar,0.1968,Focke,Peralta Martinez,Trial,,Yes
AACY04NMONET,Mones Cazon ,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Oeste,-36.16011,-61.99626,,,Alta,0.1968,Focke,Peralta Martinez,Trial,,Yes
AACY04NPAR1T,Paraná,Contractor,Corn,IMPACT 3R,Early,XL,Entre Ríos,Litoral,-31.82448,-60.09405,,,Estandar,0.1968,Vilchez,Bernardi,Trial,,Yes
AACY04NPERGT,Pergamino ,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Early,AA,Buenos Aires,Nucleo,-33.84191,-60.62474,,,Estandar,2.295,Romero Cuny,Mazzini,Trial,,Yes
AACY04NPIERT / AACY04NPIEHT,Pieres,Mixed,Corn,IMPACT 3R; R3; HYPER,Early,AA,Buenos Aires,Sudeste,-38.36364,-58.63112,,,Estandar,1.064,Cantero,Sarlangue,Trial,,Yes
AACY04NRAMAT,Ramallo,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Buenos Aires,Nucleo,-33.54156,-60.15158,,,Estandar,2.2338,Romero Cuny,Mazzini,Trial,,Yes
AACY04NRUNCT,Runciman,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Santa Fe,Nucleo,-33.91214,-61.81002,,,Alta,2.2338,Perassi,Paz,Trial,,Yes
ACCY04NSAMPT,Sampacho,SPD,Corn,IMPACT 3R; R3,Early,AC,Córdoba,Oeste,-33.36933,-64.70011,,,Estandar,0.3672,Milani,Open Rio IV,Trial,,Yes
ACCB02FMRCST,Sampacho MRCV,SPD,Corn,OGCA+ Obs,Early,AC,Córdoba,Oeste,-33.65468,-64.4799,,,Estandar,0.9968,Milani,Open Rio IV,Trial,,Yes
ACCY04NSBAST,San Basilio,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Córdoba,Oeste,-33.50465,-64.21658,,,Estandar,2.2338,Milani,Open Rio IV,Trial,,Yes
ACCY04NSJENT,San Jeronimo Norte,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Santa Fe,Centro,-31.4146,-61.02957,,,Estandar,2.2338,Arias,Traggiay,Trial,,Yes
AACY04NTANDT / AACY04NTANHT,Tandil,Mixed,Corn,IMPACT 3R; R3; HYPER,Early,AA,Buenos Aires,Sudeste,-37.46783,-58.91169,,,Baja,1.064,Cantero,Sarlangue,Trial,,Yes
AACY04NTRENT,Trenque Lauquen,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Buenos Aires,Oeste,-35.77353,-62.83583,,,Estandar,2.2338,Focke,Peralta Martinez,Trial,,Yes
AACY04NTR1HT,Tres Arroyos,Mixed,Corn,HYPER,Early,AA,Buenos Aires,Sudeste,-38.16091,-60.23742,,,Estandar,0.1827,Cantero,Sarlangue,Trial,,Yes
AACY04NURANT,Uranga,SPD,Corn,IMPACT 3R,Early,AA,Santa Fe,Nucleo,-33.29509,-60.4275,,,Estandar,0.1968,Vilchez,Mazzini,Trial,,Yes
AACY04NVICTT,Victoria,Contractor,Corn,IMPACT 3R,Early,XL,Entre Ríos,Litoral,-32.84509,-59.79271,,,Baja,0.1968,Vilchez,Bernardi,Trial,,Yes
ACCY04NMAK1T,Vicuña Mackenna,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Córdoba,Oeste,-34.14809,-64.34328,,,Estandar,2.2338,Milani,Open Rio IV,Trial,,Yes
AACY04NELOIT,Villa Eloisa,SPD,Corn,IMPACT 3R,Early,AA,Santa Fe,Nucleo,-33.00167,-61.50074,,,Alta,0.1968,Vilchez,Traggiay,Trial,,Yes
AACY04NVGU1T,Villaguay,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Early,AA,Entre Ríos,Litoral,-32.02287,-58.99225,,,Estandar,2.295,Vilchez,Bernardi,Trial,,Yes
AACY04NZAVAT,Zavalla,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Santa Fe,Nucleo,-33.03802,-60.90255,,,Estandar,2.2338,Vilchez,Traggiay,Trial,,Yes
ACCY04NADEMT,Adelia Maria,SPD,Corn,IMPACT 3R,Late,AC,Córdoba,Oeste,-33.65534,-64.47788,,,Ultra baja,0.1968,Milani,Open Rio IV,Trial,,Yes
ACCY04NALCHT,Altos de Chipion,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Córdoba,Centro,-31.02742,-62.3462,,,Alta,2.295,Arias,Traggiay,Trial,,Yes
AACY04NAMG2T,Ameghino,SPD,Corn,IMPACT 3R,Late,AA,Buenos Aires,Oeste,-34.98381,-62.83995,,,Estandar,0.1968,Antunes,Peralta Martinez,Trial,,Yes
AACY04NANGUT,Anguil,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Late,AA,La Pampa,Oeste,-36.64189,-63.9591,,,Baja,2.3715,Focke,Peralta Martinez,Trial,,Yes
AACY04NARR2T,Arrecifes,SPD,Corn,IMPACT 3R,Late,AA,Buenos Aires,Nucleo,-34.0357,-60.10664,,,Estandar,0.1968,Romero Cuny,Mazzini,Trial,,Yes
AACY04NBA2HT,Balcarce,Contractor,Corn,HYPER,Late,XL,Buenos Aires,Sudeste,-37.8947,-58.31263,,,Estandar,0.1827,Cantero,Sarlangue,Trial,,Yes
ANCY04NBANDT,Bandera,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Santiago Del Estero,NEA,-28.79009,-62.21952,,,Ultra baja,0,New FTS-Quimili,Oggero,Trial,,Yes
ANCY04NBUENT,Buenaventura,SPD,Corn,IMPACT 3R; IMPACT TROP; R2; OGCA,Late,AN,Salta,NOA,-24.95582,-64.29458,,,Baja,0,Miranda,Aris,Trial,,Yes
ACCY04NCDLUT,Cañada de Luque,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Late,AC,Córdoba,Centro,-30.79223,-63.75443,,,Estandar,2.3715,Attme,Capristo,Trial,,Yes
ACCY04NCDRET,Capilla de los Remedios,SPD,Corn,IMPACT 3R,Late,AC,Córdoba,Centro,-31.46498,-64.00674,,,Baja,0.1968,Attme,Capristo,Trial,,Yes
ACCY04NCHA2T,Chazon ,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Córdoba,Oeste,-33.04064,-63.59238,,,Baja,2.295,Gomez,Open Rio IV,Trial,,Yes
ACCY04NCMART,Colonia Marina,SPD,Corn,IMPACT 3R,Late,AC,Córdoba,Centro,-31.24709,-62.39959,,,Ultra baja,0.1968,Arias,Traggiay,Trial,,Yes
ACCY04NELT2T,El Trebol,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Santa Fe,Centro,-32.17171,-61.77264,,,Baja,2.295,Arias,Traggiay,Trial,,Yes
AACY04NFER2T,Ferre,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Late,AA,Buenos Aires,Nucleo,-34.1632,-61.10482,,,Alta,2.3715,Romero Cuny,Mazzini,Trial,,Yes
ACCY04NGAL2T,Galvez,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Santa Fe,Centro,-32.0552,-61.24585,,,Estandar,2.295,Arias,Traggiay,Trial,,Yes
ANCY04NGCAPT,General Capdevilla,SPD,Corn,IMPACT 3R; IMPACT TROP,Late,AN,Chaco,NEA,-27.45281,-61.50464,,,Estandar,0,Puntano,Oggero,Trial,,Yes
AACY04NGPICT,General Pico,SPD,Corn,IMPACT 3R,Late,AA,La Pampa,Oeste,-35.72576,-63.56209,,,Baja,0.1968,Antunes,Peralta Martinez,Trial,,Yes
AACY04NGVLLT,General Villegas,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AA,Buenos Aires,Oeste,-35.15554,-63.01091,,,Estandar,2.295,Antunes,Peralta Martinez,Trial,,Yes
AACY04NGCH2T,Gualeguaychu,SPD,Corn,IMPACT 3R,Late,AA,Entre Ríos,Litoral,-32.96958,-58.47771,,,Estandar,0.1968,Vilchez,Bernardi,Trial,,Yes
ACCY04NHER2T,Hernando,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Córdoba,Centro,-32.27251,-63.88597,,,Estandar,2.295,Gomez,Open Rio IV,Trial,,Yes
ACCY04NHRENT,Huinca Renancó,Contractor,Corn,IMPACT 3R,Late,XL,Córdoba,Oeste,-34.81137,-64.29639,,,Ultra baja,0.1968,Milani,Open Rio IV,Trial,,Yes
ACCY04NJMART,Jesus Maria,SPD,Corn,IMPACT 3R,Late,AC,Córdoba,Centro,-30.1734,-64.16247,,,Ultra baja,0.1968,Attme,Capristo,Trial,,Yes
ANCY04NLCOCT,La Cocha,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Tucuman,NOA,-28.08803,-65.39169,,,Baja,0,Guzman,Aris,Trial,,Yes
ANCY04NLCEJT,Las Cejas,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Tucuman,NOA,-26.99911,-64.68746,,,Ultra baja,0,Guzman,Aris,Trial,,Yes
ANCY04NLFRET,Los Frentones,SPD,Corn,IMPACT 3R; IMPACT TROP; R2; OGCA,Late,AN,Chaco,NEA,-26.46564,-61.60989,,,Baja,0,Puntano,Oggero,Trial,,Yes
AACY04NSURGT,Los Surgentes,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AA,Córdoba,Nucleo,-32.94124,-61.94253,,,Alta,2.295,Perassi,Paz,Trial,,Yes
ANCY04NMETAT,Metan,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Salta,NOA,-25.43167,-64.81481,,,Ultra baja,0,Miranda,Aris,Trial,,Yes
ANCY04NNESPT,Nueva Esperanza,SPD,Corn,IMPACT 3R; IMPACT TROP; R2; OGCA,Late,AN,Santiago Del Estero,NOA,-26.06925,-64.30616,,,Ultra baja,0,Guzman,Aris,Trial,,Yes
ANCY04NOTUMT,Otumpa,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Santiago Del Estero,NEA,-27.23878,-62.04941,,,Ultra baja,0,New FTS-Quimili,Oggero,Trial,,Yes
ANCY04NPINFT,Pampa del Infierno,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Chaco,NEA,-26.57811,-61.28523,,,Ultra baja,0,Puntano,Oggero,Trial,,Yes
AACY04NPAR2T,Paraná,Contractor,Corn,IMPACT 3R,Late,XL,Entre Ríos,Litoral,-31.84732,-60.45179,,,Baja,0.1968,Vilchez,Bernardi,Trial,,Yes
ANCY04NPIQUT,Piquete Cabado,SPD,Corn,IMPACT 3R; IMPACT TROP; R2; OGCA,Late,AN,Salta,NOA,-24.87422,-64.15883,,,Baja,0,Miranda,Aris,Trial,,Yes
ANCY04NQUIMT,Quimili,SPD,Corn,IMPACT 3R; IMPACT TROP; R2; OGCA,Late,AN,Santiago Del Estero,NEA,-27.77776,-62.22601,,,Estandar,0,New FTS-Quimili,Oggero,Trial,,Yes
ACCY04NRAFAT,Rafaela,SPD,Corn,IMPACT 3R,Late,AC,Santa Fe,Centro,-31.35138,-61.53368,,,Alta,0.1968,Arias,Traggiay,Trial,,Yes
ANCY04NRAPET,Rapelli,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Santiago Del Estero,NOA,-26.35514,-64.47495,,,Estandar,0,Guzman,Aris,Trial,,Yes
ANCY04NRDLET,Rosario de Lerma,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Salta,NOA,-24.90203,-65.46967,,,Baja,0,Miranda,Aris,Trial,,Yes
ANCY04NROVET,Roversi,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Santiago Del Estero,NEA,-27.72827,-61.94761,,,Estandar,0,New FTS-Quimili,Oggero,Trial,,Yes
ACCY04NSACAT,Sacanta,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Late,AC,Córdoba,Centro,-31.66945,-63.11862,,,Estandar,2.3715,Gomez,Capristo,Trial,,Yes
ANCY04NSACHT,Sachayoj,SPD,Corn,IMPACT 3R; IMPACT TROP; R3; R2; OGCA,Late,AN,Santiago Del Estero,NEA,-26.62108,-61.97888,,,Estandar,0,Puntano,Oggero,Trial,,Yes
ACCY04NSJDOT,San Jose de la Dormida,SPD,Corn,IMPACT 3R; HYPER,Late,AC,Córdoba,Centro,-30.29838,-63.91401,,,Ultra baja,0.3403,Attme,Capristo,Trial,,Yes
ACCY04NSUART,Suardi ,SPD,Corn,IMPACT 3R,Late,AC,Santa Fe,Centro,-30.49787,-61.91444,,,Baja,0.1968,Arias,Traggiay,Trial,,Yes
ACCY04NSUCOT,Suco,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Córdoba,Oeste,-33.42862,-64.78857,,,Estandar,2.295,Milani,Open Rio IV,Trial,,Yes
AACY04NTR2HT,Tres Arroyos,Contractor,Corn,HYPER,Late,XL,Buenos Aires,Sudeste,-38.16066,-60.23771,,,Estandar,0.1827,Cantero,Sarlangue,Trial,,Yes
ACCY04NMAK2T,Vicuña Mackenna,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Late,AC,Córdoba,Oeste,-34.18846,-64.34118,,,Alta,2.3715,Milani,Open Rio IV,Trial,,Yes
ACCY04NVMRST,Villa Maria del Rio Seco,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AC,Córdoba,Centro,-30.02585,-63.75195,,,Estandar,2.295,Attme,Capristo,Trial,,Yes
ACCY04NVVALT,Villa Valeria,SPD,Corn,IMPACT 3R,Late,AC,Córdoba,Oeste,-34.34024,-64.52098,,,Baja,0.1968,Milani,Open Rio IV,Trial,,Yes
AACY04NVGU2T,Villaguay,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Late,AA,Entre Ríos,Litoral,-32.08565,-59.00467,,,Baja,2.295,Vilchez,Bernardi,Trial,,Yes
Completar,Cordoba PC1,SPD,Corn - Parent Chr,ARPC,Early,AC,Córdoba,Centro,-31.491074,-64.020521,,,,0,Cano,Capristo,Trial,,Yes
Completar,Cordoba PC2,SPD,Corn - Parent Chr,ARPC,Early,AC,Córdoba,Centro,-31.491074,-64.020521,,,,0,Cano,Capristo,Trial,,Yes
Completar,Cordoba Res1,SPD,Corn - Parent Chr,ARPC Restoration,Early,AC,Córdoba,Centro,-31.491074,-64.020521,,,,0,Cano,Capristo,Trial,,Yes
Completar,Cordoba Res2,SPD,Corn - Parent Chr,ARPC Restoration,Early,AC,Córdoba,Centro,-31.491074,-64.020521,,,,0,Cano,Capristo,Trial,,Yes
Completar,Pergamino Res1,SPD,Corn - Parent Chr,ARPC Restoration,Early,AA,Buenos Aires,Nucleo,-33.79552,-60.845612,,,,0,Cogo,Mazzini,Trial,,Yes
Completar,Pergamino Res2,SPD,Corn - Parent Chr,ARPC Restoration,Early,AA,Buenos Aires,Nucleo,-33.79552,-60.845612,,,,0,Cogo,Mazzini,Trial,,Yes
Completar,Pergamino Res3,SPD,Corn - Parent Chr,ARPC Restoration,Late,AA,Buenos Aires,Nucleo,-33.79552,-60.845612,,,,0,Cogo,Mazzini,Trial,,Yes
Completar,Pergamino Res4,SPD,Corn - Parent Chr,ARPC Restoration,Late,AA,Buenos Aires,Nucleo,-33.79552,-60.845612,,,,0,Cogo,Mazzini,Trial,,Yes
AACY04NAME1S,America,SPD,Corn - Stewarded,R3; GCA,Early,AA,Buenos Aires,Oeste,-35.63105,-63.07321,,,Alta,0.306,Antunes,Peralta Martinez,Trial,,Yes
AACY04NCAS1S,Casilda,SPD,Corn - Stewarded,R3; GCA,Early,AA,Santa Fe,Nucleo,-33.03078,-61.10921,,,Estandar,0.306,Vilchez,Traggiay,Trial,,Yes
AACY04NGCHUS,Gualeguaychu,SPD,Corn - Stewarded,R3; GCA,Early,AA,Entre Ríos,Litoral,-33.09575,-58.80542,,,Estandar,0.306,Vilchez,Bernardi,Trial,,Yes
AACY04NCARLS,La Carlota,SPD,Corn - Stewarded,R3; GCA,Early,AA,Córdoba,Oeste,-33.26902,-63.29965,,,Baja,0.306,Perassi,Paz,Trial,,Yes
ACCY04NMAL1S,Malena,SPD,Corn - Stewarded,R3; GCA,Early,AC,Córdoba,Oeste,-33.48942,-64.4722,,,Estandar,0.306,Milani,Open Rio IV,Trial,,Yes
AACY04NMBU1S,Monte Buey,SPD,Corn - Stewarded,R3; GCA,Early,AA,Córdoba,Nucleo,-33.00007,-62.45911,,,Estandar,0.306,Perassi,Paz,Trial,,Yes
AACY04NFERRS,Ferre,Mixed,Corn - Stewarded,R3; GCA,Early,AA,Buenos Aires,Nucleo,-34.12044,-61.20371,,,Estandar,0.306,Romero Cuny,Mazzini,Trial,,Yes
AACY04NROJAS,Rojas,SPD,Corn - Stewarded,R3; GCA,Early,AA,Buenos Aires,Nucleo,-34.19907,-60.7907,,,Estandar,0.306,Romero Cuny,Mazzini,Trial,,Yes
AACY04NSARAS,Sarah,SPD,Corn - Stewarded,R3; GCA,Early,AA,La Pampa,Oeste,-35.02656,-63.63536,,,Estandar,0.306,Antunes,Peralta Martinez,Trial,,Yes
AACY04NZAVAS,Zavalla,SPD,Corn - Stewarded,R3; GCA,Early,AA,Santa Fe,Nucleo,-33.05956,-60.86021,,,Estandar,0.306,Vilchez,Traggiay,Trial,,Yes
